Journal No,Journal Date,Account Name,Debits,Credits,Description,Name,Currency,Location,Class,Memo
3PL-ALLOC-Mar2026,3/31/26,52100 3PL Fulfillment Fees,1375.84,,DTC 3PL allocation,,USD,,DTC,"Channel allocation for Mar 2026: $3,984.66 of unallocated 52100 3PL Fulfillment Fees spend this month, split proportionally between DTC (183 units) and TikTok (347 units) - the only two channels fulfilled by this 3PL as of Aug 2026. Amazon FBA-native fees already correctly tagged and excluded; Wholesale excluded as historically hand-delivered, not shipped. Net zero impact on the account total, adds channel attribution only."
3PL-ALLOC-Mar2026,,52100 3PL Fulfillment Fees,2608.82,,TikTok 3PL allocation,,USD,,TikTok,
3PL-ALLOC-Mar2026,,52100 3PL Fulfillment Fees,,3984.66,Reverses unallocated 3PL,,USD,,,
3PL-ALLOC-Apr2026,4/30/26,52100 3PL Fulfillment Fees,1362.77,,DTC 3PL allocation,,USD,,DTC,"Channel allocation for Apr 2026: $6,223.32 of unallocated 52100 3PL Fulfillment Fees spend this month, split proportionally between DTC (210 units) and TikTok (749 units) - the only two channels fulfilled by this 3PL as of Aug 2026. Amazon FBA-native fees already correctly tagged and excluded; Wholesale excluded as historically hand-delivered, not shipped. Net zero impact on the account total, adds channel attribution only."
3PL-ALLOC-Apr2026,,52100 3PL Fulfillment Fees,4860.55,,TikTok 3PL allocation,,USD,,TikTok,
3PL-ALLOC-Apr2026,,52100 3PL Fulfillment Fees,,6223.32,Reverses unallocated 3PL,,USD,,,
3PL-ALLOC-May2026,5/31/26,52100 3PL Fulfillment Fees,2817.27,,DTC 3PL allocation,,USD,,DTC,"Channel allocation for May 2026: $9,754.60 of unallocated 52100 3PL Fulfillment Fees spend this month, split proportionally between DTC (173 units) and TikTok (426 units) - the only two channels fulfilled by this 3PL as of Aug 2026. Amazon FBA-native fees already correctly tagged and excluded; Wholesale excluded as historically hand-delivered, not shipped. Net zero impact on the account total, adds channel attribution only."
3PL-ALLOC-May2026,,52100 3PL Fulfillment Fees,6937.33,,TikTok 3PL allocation,,USD,,TikTok,
3PL-ALLOC-May2026,,52100 3PL Fulfillment Fees,,9754.60,Reverses unallocated 3PL,,USD,,,
3PL-ALLOC-Jun2026,6/30/26,52100 3PL Fulfillment Fees,3334.10,,DTC 3PL allocation,,USD,,DTC,"Channel allocation for Jun 2026: $7,068.93 of unallocated 52100 3PL Fulfillment Fees spend this month, split proportionally between DTC (208 units) and TikTok (233 units) - the only two channels fulfilled by this 3PL as of Aug 2026. Amazon FBA-native fees already correctly tagged and excluded; Wholesale excluded as historically hand-delivered, not shipped. Net zero impact on the account total, adds channel attribution only."
3PL-ALLOC-Jun2026,,52100 3PL Fulfillment Fees,3734.83,,TikTok 3PL allocation,,USD,,TikTok,
3PL-ALLOC-Jun2026,,52100 3PL Fulfillment Fees,,7068.93,Reverses unallocated 3PL,,USD,,,
PP-ALLOC-Jan2026,1/31/26,52110 Pick & Pack Fees,153.46,,DTC 3PL allocation,,USD,,DTC,"Channel allocation for Jan 2026: $462.90 of unallocated 52110 Pick & Pack Fees spend this month, split proportionally between DTC (182 units) and TikTok (367 units) - the only two channels fulfilled by this 3PL as of Aug 2026. Amazon FBA-native fees already correctly tagged and excluded; Wholesale excluded as historically hand-delivered, not shipped. Net zero impact on the account total, adds channel attribution only."
PP-ALLOC-Jan2026,,52110 Pick & Pack Fees,309.44,,TikTok 3PL allocation,,USD,,TikTok,
PP-ALLOC-Jan2026,,52110 Pick & Pack Fees,,462.90,Reverses unallocated 3PL,,USD,,,
